address,city,state,zip_code,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
"28TH AVE & 10TH ST",COLUMBUS,NE, 68601 ,41.4263,-97.362022,1,intersection,,"10th St",Columbus,NE,"Platte County",68601,US,"TIGER/Line® dataset from the US Census Bureau",2018,31,31141,3110110,965600,3009,3,311419656003009,"Columbus, NE",18100,micropolitan,,,,
"412 E 29TH N 26S 1E SW 1/4 S 33",WICHITA,KS, 67219 ,37.73826,-97.334537,1,rooftop,412,"E 29th St N",Wichita,KS,"Sedgwick County",67219,US,"City of Wichita",2018,20,20173,2079000,008100,2212,2,201730081002212,"Wichita, KS",48620,metropolitan,"Wichita-Arkansas City-Winfield, KS",556,,
"3500 35TH N.",BIRMINGHAM,AL, 35207 ,33.469061,-86.891023,0.7,nearest_rooftop_match,3501,"35th St",Birmingham,AL,"Jefferson County",35221,US,Jefferson,2018,01,01073,0107000,005701,3024,3,010730057013024,"Birmingham-Hoover, AL",13820,metropolitan,"Birmingham-Hoover-Talladega, AL",142,,
"57TH & N BROADWAY STREETS",WICHITA,KS, 67219 ,37.589867,-97.32499,0.9,street_center,,"E 57th St S",Wichita,KS,"Sedgwick County",67216,US,"TIGER/Line® dataset from the US Census Bureau",2018,20,20173,2079000,005600,3033,3,201730056003033,"Wichita, KS",48620,metropolitan,"Wichita-Arkansas City-Winfield, KS",556,,
"68TH STREET",ROSEDALE,MD, 21237 ,39.313902,-76.521844,1,street_center,,"68th St",Rosedale,MD,"Baltimore County",21237,US,"TIGER/Line® dataset from the US Census Bureau",2018,24,24005,2468400,450100,2035,2,240054501002035,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,
"INTERSECTION OF 700 SOUTH & 1600 EAST","SALT LAKE CITY",UT, 84102 ,40.756095,-111.900719,1,place,,,"Salt Lake City",UT,"Salt Lake County",84101,US,"TIGER/Line® dataset from the US Census Bureau",2018,49,49035,4967000,114000,1046,1,490351140001046,"Salt Lake City, UT",41620,metropolitan,"Salt Lake City-Provo-Orem, UT",482,,
"WEST CUMBERLAND",GREENUP,IL, 62428 ,39.249426,-88.157789,1,street_center,,"State Rte 121",Greenup,IL,"Cumberland County",62428,US,"TIGER/Line® dataset from the US Census Bureau",2018,17,17035,1731524,972400,4020,4,170359724004020,"Charleston-Mattoon, IL",16660,micropolitan,,,,
"44 STATION ROAD","SPARTA TOWNSHIP",NJ, 07871 ,41.047513,-74.629826,1,rooftop,44,"Station Rd",Sparta,NJ,"Sussex County",07871,US,Sussex,2018,34,34037,3469660,373100,2016,2,340373731002016,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Newark, NJ-PA",35084
"INT RTE 202 & RTE 30",EXTON,PA, 19341 ,40.049852,-75.637035,1,place,,,Exton,PA,"Chester County",19341,US,"TIGER/Line® dataset from the US Census Bureau",2018,42,42029,4224440,304404,1013,1,420293044041013,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428,"Montgomery County-Bucks County-Chester County, PA",33874
"ST HWY 1020",BROOKS,KY, 40165 ,38.020596,-85.702983,1,street_center,,"State Hwy 1020",Shepherdsville,KY,"Bullitt County",40165,US,"TIGER/Line® dataset from the US Census Bureau",2018,21,21029,2170086,020800,3038,3,210290208003038,"Louisville/Jefferson County, KY-IN",31140,metropolitan,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",350,,
